Katowice;Slaskie;Polska
Czestochowa;Slaskie;Polska
Rybnik;Slaskie;Polska
Gliwice;Slaskie;Polska
Zabrze;Slaskie;Polska
Bytom;Slaskie;Polska
Pszczyna;Slaskie;Polska
Tychy;Slaskie;Polska
Cieszyn;Slaskie;Polska
Wroclaw;Dolnoslaskie;Polska
Olawa;Dolnoslaskie;Polska
Swidnica;Dolnoslaskie;Polska
Walbrzych;Dolnoslaskie;Polska
Klodzko;Dolnoslaskie;Polska
Lubin;Dolnoslaskie;Polska
Luban;Dolnoslaskie;Polska
Jelenia Gora;Dolnoslaskie;Polska
Warszawa;Mazowieckie;Polska
Siedlce;Mazowieckie;Polska
Radom;Mazowieckie;Polska
Ciechanow;Mazowieckie;Polska
Ostroleka;Mazowieckie;Polska
Wyszkow;Mazowieckie;Polska
Lipsko;Mazowieckie;Polska
Piaseczno;Mazowieckie;Polska
Proszkow;Mazowieckie;Polska
Opole;Opolskie;Polska
Brzeg;Opolskie;Polska
Prudnik;Opolskie;Polska
Nysa;Opolskie;Polska
Kluczbork;Opolskie;Polska
Glubczyce;Opolskie;Polska
Namyslow;Opolskie;Polska
Gdansk;Pomorskie;Polska
Gdynia;Pomorskie;Polska
Puck;Pomorskie;Polska
Sopot;Pomorskie;Polska
